37.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
11:17:19.0 (338886)|USER_INFO|[EXTERNAL]|00557000005jeEC|p7s1.bschneider@factory42.com.kam|Mitteleuropäische Normalzeit|GMT+02:00
11:17:19.0 (373784)|EXECUTION_STARTED
11:17:19.0 (379863)|CODE_UNIT_STARTED|[EXTERNAL]|aura
11:17:19.0 (702309)|HEAP_ALLOCATE|[72]|Bytes:3
11:17:19.0 (770922)|HEAP_ALLOCATE|[77]|Bytes:152
11:17:19.0 (795318)|HEAP_ALLOCATE|[342]|Bytes:408
11:17:19.0 (823939)|HEAP_ALLOCATE|[355]|Bytes:408
11:17:19.0 (845315)|HEAP_ALLOCATE|[467]|Bytes:48
11:17:19.0 (876826)|HEAP_ALLOCATE|[139]|Bytes:6
11:17:19.0 (906307)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
11:17:19.0 (925952)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
11:17:19.0 (2001753)|CODE_UNIT_STARTED|[EXTERNAL]|01p570000010d3m|P7S1_AccountDashboardCmpCtrl.getMediaData
11:17:19.0 (2103251)|VARIABLE_SCOPE_BEGIN|[6]|P7S1_AccountDashboardCmpCtrl.AA_ACCOUNT_FIELD_ID|String|false|true
11:17:19.0 (2111314)|VARIABLE_SCOPE_BEGIN|[5]|P7S1_AccountDashboardCmpCtrl.DEFAULT_LOGO|String|false|true
11:17:19.0 (2114897)|VARIABLE_SCOPE_BEGIN|[4]|P7S1_AccountDashboardCmpCtrl.FOLDER_LOGOS|String|false|true
11:17:19.0 (2118115)|VARIABLE_SCOPE_BEGIN|[10]|P7S1_AccountDashboardCmpCtrl.PREFIX_AA|String|false|true
11:17:19.0 (2121796)|VARIABLE_SCOPE_BEGIN|[3]|P7S1_AccountDashboardCmpCtrl.QUEUE_MEDIABOARD|String|false|true
11:17:19.0 (2125331)|VARIABLE_SCOPE_BEGIN|[8]|P7S1_AccountDashboardCmpCtrl.RECID_AI_AT|String|false|true
11:17:19.0 (2129264)|VARIABLE_SCOPE_BEGIN|[7]|P7S1_AccountDashboardCmpCtrl.RECID_AI_AU|String|false|true
11:17:19.0 (2132730)|VARIABLE_SCOPE_BEGIN|[9]|P7S1_AccountDashboardCmpCtrl.RECID_AI_LI|String|false|true
11:17:19.0 (2160114)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:57
11:17:19.0 (2166866)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:57
11:17:19.0 (2182720)|METHOD_ENTRY|[1]|01p570000010d3m|P7S1_AccountDashboardCmpCtrl.P7S1_AccountDashboardCmpCtrl()
11:17:19.0 (2186907)|STATEMENT_EXECUTE|[1]
11:17:19.0 (2197171)|STATEMENT_EXECUTE|[1]
11:17:19.0 (2232869)|HEAP_ALLOCATE|[50]|Bytes:5
11:17:19.0 (2264280)|HEAP_ALLOCATE|[56]|Bytes:5
11:17:19.0 (2274636)|HEAP_ALLOCATE|[64]|Bytes:7
11:17:19.0 (2298576)|SYSTEM_MODE_ENTER|true
11:17:19.0 (2322760)|HEAP_ALLOCATE|[3]|Bytes:5
11:17:19.0 (2327239)|STATEMENT_EXECUTE|[3]
11:17:19.0 (2331103)|HEAP_ALLOCATE|[3]|Bytes:23
11:17:19.0 (10208867)|HEAP_ALLOCATE|[3]|Bytes:11
11:17:19.0 (10257886)|VARIABLE_ASSIGNMENT|[3]|P7S1_AccountDashboardCmpCtrl.QUEUE_MEDIABOARD|"Media Board"
11:17:19.0 (10262107)|STATEMENT_EXECUTE|[4]
11:17:19.0 (10266211)|HEAP_ALLOCATE|[4]|Bytes:23
11:17:19.0 (10288428)|HEAP_ALLOCATE|[4]|Bytes:12
11:17:19.0 (10301198)|VARIABLE_ASSIGNMENT|[4]|P7S1_AccountDashboardCmpCtrl.FOLDER_LOGOS|"Entity Logos"
11:17:19.0 (10303801)|STATEMENT_EXECUTE|[5]
11:17:19.0 (10306569)|HEAP_ALLOCATE|[5]|Bytes:24
11:17:19.0 (10320405)|HEAP_ALLOCATE|[5]|Bytes:16
11:17:19.0 (10330724)|VARIABLE_ASSIGNMENT|[5]|P7S1_AccountDashboardCmpCtrl.DEFAULT_LOGO|"Sales Excellence"
11:17:19.0 (10333290)|STATEMENT_EXECUTE|[6]
11:17:19.0 (10336012)|HEAP_ALLOCATE|[6]|Bytes:33
11:17:19.0 (10349121)|HEAP_ALLOCATE|[6]|Bytes:15
11:17:19.0 (10359023)|VARIABLE_ASSIGNMENT|[6]|P7S1_AccountDashboardCmpCtrl.AA_ACCOUNT_FIELD_ID|"00N57000006LnEC"
11:17:19.0 (10361384)|STATEMENT_EXECUTE|[7]
11:17:19.0 (10363840)|HEAP_ALLOCATE|[7]|Bytes:21
11:17:19.0 (11007798)|HEAP_ALLOCATE|[7]|Bytes:4
11:17:19.0 (14344990)|HEAP_ALLOCATE|[7]|Bytes:20
11:17:19.0 (14354579)|HEAP_ALLOCATE|[7]|Bytes:17
11:17:19.0 (14521921)|HEAP_ALLOCATE|[7]|Bytes:4
11:17:19.0 (14539299)|HEAP_ALLOCATE|[7]|Bytes:18
11:17:19.0 (14552709)|VARIABLE_ASSIGNMENT|[7]|P7S1_AccountDashboardCmpCtrl.RECID_AI_AU|"012570000007QSJAA2"
11:17:19.0 (14556296)|STATEMENT_EXECUTE|[8]
11:17:19.0 (14607266)|HEAP_ALLOCATE|[8]|Bytes:4
11:17:19.0 (14638301)|HEAP_ALLOCATE|[8]|Bytes:20
11:17:19.0 (14644160)|HEAP_ALLOCATE|[8]|Bytes:25
11:17:19.0 (14676676)|HEAP_ALLOCATE|[8]|Bytes:4
11:17:19.0 (14684875)|HEAP_ALLOCATE|[8]|Bytes:18
11:17:19.0 (14696658)|VARIABLE_ASSIGNMENT|[8]|P7S1_AccountDashboardCmpCtrl.RECID_AI_AT|"012570000007QSKAA2"
11:17:19.0 (14699785)|STATEMENT_EXECUTE|[9]
11:17:19.0 (14744947)|HEAP_ALLOCATE|[9]|Bytes:4
11:17:19.0 (14773219)|HEAP_ALLOCATE|[9]|Bytes:20
11:17:19.0 (14778902)|HEAP_ALLOCATE|[9]|Bytes:16
11:17:19.0 (14813207)|HEAP_ALLOCATE|[9]|Bytes:4
11:17:19.0 (14821359)|HEAP_ALLOCATE|[9]|Bytes:18
11:17:19.0 (14833153)|VARIABLE_ASSIGNMENT|[9]|P7S1_AccountDashboardCmpCtrl.RECID_AI_LI|"012570000007QSLAA2"
11:17:19.0 (14836077)|STATEMENT_EXECUTE|[10]
11:17:19.0 (14879543)|HEAP_ALLOCATE|[10]|Bytes:4
11:17:19.0 (14897599)|HEAP_ALLOCATE|[10]|Bytes:3
11:17:19.0 (14908512)|VARIABLE_ASSIGNMENT|[10]|P7S1_AccountDashboardCmpCtrl.PREFIX_AA|"a2D"
11:17:19.0 (14911636)|STATEMENT_EXECUTE|[113]
11:17:19.0 (14913355)|STATEMENT_EXECUTE|[125]
11:17:19.0 (14914645)|STATEMENT_EXECUTE|[242]
11:17:19.0 (14915605)|STATEMENT_EXECUTE|[269]
11:17:19.0 (14917001)|STATEMENT_EXECUTE|[399]
11:17:19.0 (14918016)|STATEMENT_EXECUTE|[583]
11:17:19.0 (14928332)|SYSTEM_MODE_EXIT|true
11:17:19.0 (15358227)|METHOD_EXIT|[1]|P7S1_AccountDashboardCmpCtrl
11:17:19.0 (15366235)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
11:17:19.0 (15378276)|SYSTEM_MODE_ENTER|false
11:17:19.0 (15391954)|VARIABLE_SCOPE_BEGIN|[16]|accountId|String|false|false
11:17:19.0 (15400610)|VARIABLE_ASSIGNMENT|[16]|accountId|"0013E000006KJGeQAO"
11:17:19.0 (15415167)|SYSTEM_MODE_ENTER|true
11:17:19.0 (15420500)|HEAP_ALLOCATE|[19]|Bytes:5
11:17:19.0 (15424099)|STATEMENT_EXECUTE|[16]
11:17:19.0 (15425627)|STATEMENT_EXECUTE|[19]
11:17:19.0 (15481270)|HEAP_ALLOCATE|[19]|Bytes:4
11:17:19.0 (15507945)|VARIABLE_SCOPE_BEGIN|[19]|year|Integer|false|false
11:17:19.0 (15512927)|HEAP_ALLOCATE|[19]|Bytes:4
11:17:19.0 (15519694)|VARIABLE_ASSIGNMENT|[19]|year|2016
11:17:19.0 (15522209)|STATEMENT_EXECUTE|[22]
11:17:19.0 (15541316)|METHOD_ENTRY|[22]|01p570000010d3m|P7S1_AccountDashboardCmpCtrl.loadNielsenData(String, Integer)
11:17:19.0 (15560721)|VARIABLE_SCOPE_BEGIN|[28]|accountId|String|false|false
11:17:19.0 (15567022)|VARIABLE_ASSIGNMENT|[28]|accountId|"0013E000006KJGeQAO"
11:17:19.0 (15570979)|VARIABLE_SCOPE_BEGIN|[28]|year|Integer|false|false
11:17:19.0 (15574389)|VARIABLE_ASSIGNMENT|[28]|year|2016
11:17:19.0 (15582129)|HEAP_ALLOCATE|[31]|Bytes:5
11:17:19.0 (15585582)|STATEMENT_EXECUTE|[28]
11:17:19.0 (15586937)|STATEMENT_EXECUTE|[31]
11:17:19.0 (15648084)|HEAP_ALLOCATE|[31]|Bytes:56
11:17:19.0 (15664199)|VARIABLE_SCOPE_BEGIN|[31]|dt|Datetime|false|false
11:17:19.0 (15700255)|VARIABLE_ASSIGNMENT|[31]|dt|"2014-12-31T23:00:00.000Z"
11:17:19.0 (15703447)|STATEMENT_EXECUTE|[32]
11:17:19.0 (15707036)|HEAP_ALLOCATE|[32]|Bytes:3
11:17:19.0 (15803792)|HEAP_ALLOCATE|[32]|Bytes:3
11:17:19.0 (15821766)|VARIABLE_SCOPE_BEGIN|[32]|monthJan|String|false|false
11:17:19.0 (15829801)|VARIABLE_ASSIGNMENT|[32]|monthJan|"Jan"
