37.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
10:26:07.0 (350091)|USER_INFO|[EXTERNAL]|00557000005jeEC|p7s1.bschneider@factory42.com.kam|Mitteleuropäische Normalzeit|GMT+02:00
10:26:07.0 (386547)|EXECUTION_STARTED
10:26:07.0 (391466)|CODE_UNIT_STARTED|[EXTERNAL]|01p3E0000004a8n|Som_Kam_CmpCtrl.saveAccountPlan
10:26:07.0 (577275)|HEAP_ALLOCATE|[72]|Bytes:3
10:26:07.0 (642637)|HEAP_ALLOCATE|[77]|Bytes:152
10:26:07.0 (664616)|HEAP_ALLOCATE|[342]|Bytes:408
10:26:07.0 (683166)|HEAP_ALLOCATE|[355]|Bytes:408
10:26:07.0 (701084)|HEAP_ALLOCATE|[467]|Bytes:48
10:26:07.0 (734376)|HEAP_ALLOCATE|[139]|Bytes:6
10:26:07.0 (841996)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:89
10:26:07.0 (847664)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:71
10:26:07.0 (850488)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:35
10:26:07.0 (868114)|METHOD_ENTRY|[14]|01p3E0000004a8n|Som_Kam_CmpCtrl.Som_Kam_CmpCtrl()
10:26:07.0 (873672)|STATEMENT_EXECUTE|[14]
10:26:07.0 (878936)|STATEMENT_EXECUTE|[14]
10:26:07.0 (928682)|HEAP_ALLOCATE|[50]|Bytes:5
10:26:07.0 (957352)|HEAP_ALLOCATE|[56]|Bytes:5
10:26:07.0 (965871)|HEAP_ALLOCATE|[64]|Bytes:7
10:26:07.0 (991969)|SYSTEM_MODE_ENTER|true
10:26:07.0 (1020507)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:26:07.0 (1026132)|STATEMENT_EXECUTE|[932]
10:26:07.0 (1028054)|STATEMENT_EXECUTE|[953]
10:26:07.0 (1029363)|STATEMENT_EXECUTE|[975]
10:26:07.0 (1030560)|STATEMENT_EXECUTE|[1021]
10:26:07.0 (1031897)|STATEMENT_EXECUTE|[1054]
10:26:07.0 (1039987)|SYSTEM_MODE_EXIT|true
10:26:07.0 (1060180)|METHOD_EXIT|[14]|Som_Kam_CmpCtrl
10:26:07.0 (1083024)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
10:26:07.0 (1152462)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
10:26:07.0 (1161405)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:26:07.0 (1165682)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:26:07.0 (1169554)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:26:07.0 (1173448)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:26:07.0 (1177216)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:26:07.0 (1189799)|SYSTEM_MODE_ENTER|false
10:26:07.0 (1198732)|VARIABLE_SCOPE_BEGIN|[701]|accPlan|Som_Kam__c|true|false
10:26:07.0 (1271589)|VARIABLE_ASSIGNMENT|[701]|accPlan|{"Som_EmailText__c":"Test Einladungstext","Som_Year__c":2016,"Id":"a093E000000oeSsQAI","Som_Account__c":"0013E000005oDexQAE","Som_Kickoff__c":"2016-06-30T00:00:00.000Z"}|0xdffd260
10:26:07.0 (1277961)|VARIABLE_SCOPE_BEGIN|[701]|accPlanDetailsUpsert|List<Som_KamDetail__c>|true|false
