38.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
17:22:20.0 (377370)|USER_INFO|[EXTERNAL]|00557000005jeEC|p7s1.bschneider@factory42.com.kam|Mitteleuropäische Normalzeit|GMT+02:00
17:22:20.0 (415428)|EXECUTION_STARTED
17:22:20.0 (422958)|CODE_UNIT_STARTED|[EXTERNAL]|aura
17:22:20.0 (793178)|HEAP_ALLOCATE|[72]|Bytes:3
17:22:20.0 (849178)|HEAP_ALLOCATE|[77]|Bytes:152
17:22:20.0 (869111)|HEAP_ALLOCATE|[342]|Bytes:408
17:22:20.0 (887622)|HEAP_ALLOCATE|[355]|Bytes:408
17:22:20.0 (905326)|HEAP_ALLOCATE|[467]|Bytes:48
17:22:20.0 (937542)|HEAP_ALLOCATE|[139]|Bytes:6
17:22:20.0 (966561)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
17:22:20.0 (984541)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
17:22:20.0 (2141304)|CODE_UNIT_STARTED|[EXTERNAL]|01p570000010d3m|P7S1_AccountDashboardCmpCtrl.getMediaData
17:22:20.0 (2242574)|VARIABLE_SCOPE_BEGIN|[6]|P7S1_AccountDashboardCmpCtrl.AA_ACCOUNT_FIELD_ID|String|false|true
17:22:20.0 (2251977)|VARIABLE_SCOPE_BEGIN|[5]|P7S1_AccountDashboardCmpCtrl.DEFAULT_LOGO|String|false|true
17:22:20.0 (2256715)|VARIABLE_SCOPE_BEGIN|[4]|P7S1_AccountDashboardCmpCtrl.FOLDER_LOGOS|String|false|true
17:22:20.0 (2261216)|VARIABLE_SCOPE_BEGIN|[10]|P7S1_AccountDashboardCmpCtrl.PREFIX_AA|String|false|true
17:22:20.0 (2266013)|VARIABLE_SCOPE_BEGIN|[3]|P7S1_AccountDashboardCmpCtrl.QUEUE_MEDIABOARD|String|false|true
17:22:20.0 (2270906)|VARIABLE_SCOPE_BEGIN|[8]|P7S1_AccountDashboardCmpCtrl.RECID_AI_AT|String|false|true
17:22:20.0 (2276153)|VARIABLE_SCOPE_BEGIN|[7]|P7S1_AccountDashboardCmpCtrl.RECID_AI_AU|String|false|true
17:22:20.0 (2280616)|VARIABLE_SCOPE_BEGIN|[9]|P7S1_AccountDashboardCmpCtrl.RECID_AI_LI|String|false|true
17:22:20.0 (2432098)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:57
17:22:20.0 (2439829)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:57
17:22:20.0 (2459190)|METHOD_ENTRY|[1]|01p570000010d3m|P7S1_AccountDashboardCmpCtrl.P7S1_AccountDashboardCmpCtrl()
17:22:20.0 (2463041)|STATEMENT_EXECUTE|[1]
