37.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
14:40:25.0 (320278)|USER_INFO|[EXTERNAL]|00557000005jeEC|p7s1.bschneider@factory42.com.kam|Mitteleuropäische Normalzeit|GMT+02:00
14:40:25.0 (355559)|EXECUTION_STARTED
14:40:25.0 (363639)|CODE_UNIT_STARTED|[EXTERNAL]|01p3E0000004a8n|Som_Kam_CmpCtrl.saveAccountPlan
14:40:25.0 (1247481)|HEAP_ALLOCATE|[72]|Bytes:3
14:40:25.0 (1307318)|HEAP_ALLOCATE|[77]|Bytes:152
14:40:25.0 (1327850)|HEAP_ALLOCATE|[342]|Bytes:408
14:40:25.0 (1348629)|HEAP_ALLOCATE|[355]|Bytes:408
14:40:25.0 (1368265)|HEAP_ALLOCATE|[467]|Bytes:48
14:40:25.0 (1400863)|HEAP_ALLOCATE|[139]|Bytes:6
14:40:25.0 (1425145)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:89
14:40:25.0 (1429751)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:71
14:40:25.0 (1432313)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:35
14:40:25.0 (1443304)|METHOD_ENTRY|[14]|01p3E0000004a8n|Som_Kam_CmpCtrl.Som_Kam_CmpCtrl()
14:40:25.0 (1446883)|STATEMENT_EXECUTE|[14]
14:40:25.0 (1451685)|STATEMENT_EXECUTE|[14]
14:40:25.0 (1486878)|HEAP_ALLOCATE|[50]|Bytes:5
14:40:25.0 (1509942)|HEAP_ALLOCATE|[56]|Bytes:5
14:40:25.0 (1519098)|HEAP_ALLOCATE|[64]|Bytes:7
14:40:25.0 (1542891)|SYSTEM_MODE_ENTER|true
14:40:25.0 (1562592)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
14:40:25.0 (1567355)|STATEMENT_EXECUTE|[932]
14:40:25.0 (1568934)|STATEMENT_EXECUTE|[953]
14:40:25.0 (1570085)|STATEMENT_EXECUTE|[975]
14:40:25.0 (1571160)|STATEMENT_EXECUTE|[1021]
14:40:25.0 (1572228)|STATEMENT_EXECUTE|[1054]
14:40:25.0 (1578314)|SYSTEM_MODE_EXIT|true
14:40:25.0 (1587485)|METHOD_EXIT|[14]|Som_Kam_CmpCtrl
14:40:25.0 (1599402)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
14:40:25.0 (1627801)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
14:40:25.0 (1633864)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:40:25.0 (1637701)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:40:25.0 (1641212)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:40:25.0 (1644717)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:32
14:40:25.0 (1648210)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:52
14:40:25.0 (1656062)|SYSTEM_MODE_ENTER|false
