37.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
10:18:10.0 (333273)|USER_INFO|[EXTERNAL]|00557000005jeEC|p7s1.bschneider@factory42.com.kam|Mitteleuropäische Normalzeit|GMT+02:00
10:18:10.0 (365547)|EXECUTION_STARTED
10:18:10.0 (370121)|CODE_UNIT_STARTED|[EXTERNAL]|01p3E0000004a8n|Som_Kam_CmpCtrl.saveAccountPlan
10:18:10.0 (536766)|HEAP_ALLOCATE|[72]|Bytes:3
10:18:10.0 (592070)|HEAP_ALLOCATE|[77]|Bytes:152
10:18:10.0 (610375)|HEAP_ALLOCATE|[342]|Bytes:408
10:18:10.0 (627978)|HEAP_ALLOCATE|[355]|Bytes:408
10:18:10.0 (644861)|HEAP_ALLOCATE|[467]|Bytes:48
10:18:10.0 (676543)|HEAP_ALLOCATE|[139]|Bytes:6
10:18:10.0 (770299)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:89
10:18:10.0 (775573)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:71
10:18:10.0 (778045)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:35
10:18:10.0 (792267)|METHOD_ENTRY|[14]|01p3E0000004a8n|Som_Kam_CmpCtrl.Som_Kam_CmpCtrl()
10:18:10.0 (796892)|STATEMENT_EXECUTE|[14]
10:18:10.0 (804454)|STATEMENT_EXECUTE|[14]
10:18:10.0 (840222)|HEAP_ALLOCATE|[50]|Bytes:5
10:18:10.0 (865588)|HEAP_ALLOCATE|[56]|Bytes:5
10:18:10.0 (875145)|HEAP_ALLOCATE|[64]|Bytes:7
10:18:10.0 (897196)|SYSTEM_MODE_ENTER|true
10:18:10.0 (918246)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:18:10.0 (923460)|STATEMENT_EXECUTE|[932]
10:18:10.0 (925168)|STATEMENT_EXECUTE|[953]
10:18:10.0 (926487)|STATEMENT_EXECUTE|[975]
10:18:10.0 (927590)|STATEMENT_EXECUTE|[1021]
10:18:10.0 (928974)|STATEMENT_EXECUTE|[1054]
10:18:10.0 (934315)|SYSTEM_MODE_EXIT|true
10:18:10.0 (945735)|METHOD_EXIT|[14]|Som_Kam_CmpCtrl
10:18:10.0 (962863)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
10:18:10.0 (1025348)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
10:18:10.0 (1037525)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:18:10.0 (1041681)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
