38.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
19:09:27.0 (322546)|USER_INFO|[EXTERNAL]|00557000005jeEC|p7s1.bschneider@factory42.com.kam|Mitteleuropäische Normalzeit|GMT+02:00
19:09:27.0 (358676)|EXECUTION_STARTED
19:09:27.0 (366493)|CODE_UNIT_STARTED|[EXTERNAL]|aura
19:09:27.0 (733844)|HEAP_ALLOCATE|[72]|Bytes:3
19:09:27.0 (799876)|HEAP_ALLOCATE|[77]|Bytes:152
19:09:27.0 (832096)|HEAP_ALLOCATE|[342]|Bytes:408
19:09:27.0 (870606)|HEAP_ALLOCATE|[355]|Bytes:408
19:09:27.0 (908654)|HEAP_ALLOCATE|[467]|Bytes:48
19:09:27.0 (955853)|HEAP_ALLOCATE|[139]|Bytes:6
19:09:27.0 (999750)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
19:09:27.0 (1022735)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
19:09:27.0 (2257508)|CODE_UNIT_STARTED|[EXTERNAL]|01p570000010d3m|P7S1_AccountDashboardCmpCtrl.getMediaData
19:09:27.0 (2395101)|VARIABLE_SCOPE_BEGIN|[6]|P7S1_AccountDashboardCmpCtrl.AA_ACCOUNT_FIELD_ID|String|false|true
19:09:27.0 (2409821)|VARIABLE_SCOPE_BEGIN|[5]|P7S1_AccountDashboardCmpCtrl.DEFAULT_LOGO|String|false|true
19:09:27.0 (2417853)|VARIABLE_SCOPE_BEGIN|[4]|P7S1_AccountDashboardCmpCtrl.FOLDER_LOGOS|String|false|true
19:09:27.0 (2425129)|VARIABLE_SCOPE_BEGIN|[10]|P7S1_AccountDashboardCmpCtrl.PREFIX_AA|String|false|true
19:09:27.0 (2432249)|VARIABLE_SCOPE_BEGIN|[3]|P7S1_AccountDashboardCmpCtrl.QUEUE_MEDIABOARD|String|false|true
19:09:27.0 (2440116)|VARIABLE_SCOPE_BEGIN|[8]|P7S1_AccountDashboardCmpCtrl.RECID_AI_AT|String|false|true
19:09:27.0 (2448207)|VARIABLE_SCOPE_BEGIN|[7]|P7S1_AccountDashboardCmpCtrl.RECID_AI_AU|String|false|true
19:09:27.0 (2455432)|VARIABLE_SCOPE_BEGIN|[9]|P7S1_AccountDashboardCmpCtrl.RECID_AI_LI|String|false|true
19:09:27.0 (2658131)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:57
19:09:27.0 (2669264)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:57
19:09:27.0 (2693367)|METHOD_ENTRY|[1]|01p570000010d3m|P7S1_AccountDashboardCmpCtrl.P7S1_AccountDashboardCmpCtrl()
19:09:27.0 (2700208)|STATEMENT_EXECUTE|[1]
19:09:27.0 (2710925)|STATEMENT_EXECUTE|[1]
19:09:27.0 (2761408)|HEAP_ALLOCATE|[50]|Bytes:5
19:09:27.0 (2801758)|HEAP_ALLOCATE|[56]|Bytes:5
19:09:27.0 (2820164)|HEAP_ALLOCATE|[64]|Bytes:7
19:09:27.0 (2855949)|SYSTEM_MODE_ENTER|true
