38.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
17:02:25.0 (425977)|USER_INFO|[EXTERNAL]|00557000005jeEC|p7s1.bschneider@factory42.com.kam|Mitteleuropäische Normalzeit|GMT+02:00
17:02:25.0 (478170)|EXECUTION_STARTED
17:02:25.0 (492992)|CODE_UNIT_STARTED|[EXTERNAL]|01p3E0000004a8n|Som_Kam_CmpCtrl.saveAccountPlan
17:02:25.0 (1122496)|HEAP_ALLOCATE|[72]|Bytes:3
17:02:25.0 (1222775)|HEAP_ALLOCATE|[77]|Bytes:152
17:02:25.0 (1254644)|HEAP_ALLOCATE|[342]|Bytes:408
17:02:25.0 (1301118)|HEAP_ALLOCATE|[355]|Bytes:408
17:02:25.0 (1337061)|HEAP_ALLOCATE|[467]|Bytes:48
17:02:25.0 (1379832)|HEAP_ALLOCATE|[139]|Bytes:6
17:02:25.0 (1406553)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:89
17:02:25.0 (1411045)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:83
17:02:25.0 (1413575)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:27
17:02:25.0 (1427076)|METHOD_ENTRY|[14]|01p3E0000004a8n|Som_Kam_CmpCtrl.Som_Kam_CmpCtrl()
17:02:25.0 (1431810)|STATEMENT_EXECUTE|[14]
17:02:25.0 (1436973)|STATEMENT_EXECUTE|[14]
17:02:25.0 (1472924)|HEAP_ALLOCATE|[50]|Bytes:5
17:02:25.0 (1502627)|HEAP_ALLOCATE|[56]|Bytes:5
17:02:25.0 (1512652)|HEAP_ALLOCATE|[64]|Bytes:7
17:02:25.0 (1535150)|SYSTEM_MODE_ENTER|true
17:02:25.0 (1561535)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:02:25.0 (1565866)|STATEMENT_EXECUTE|[1006]
17:02:25.0 (1567742)|STATEMENT_EXECUTE|[1046]
17:02:25.0 (1568838)|STATEMENT_EXECUTE|[1068]
